,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
48,16,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
49,16,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
50,16,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
51,17,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
52,17,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
53,17,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
54,18,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
55,18,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
56,18,2,XRSTR_1,-27920.318113647743,26886.0,1069813.9602198259,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
57,19,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
58,19,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
59,19,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
60,20,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
61,20,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
62,20,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
63,21,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
64,21,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
65,21,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
66,22,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
67,22,1,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
68,22,2,x1,-30046.315914052546,28985.0,1126391.4694211932,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
69,23,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
70,23,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
71,23,2,XRSTR_1,-28788.25768954107,27814.0,949178.0456299058,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
72,24,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
73,24,1,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
74,24,2,x1,-30046.315914052546,28985.0,1126391.4694211932,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
75,25,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
