,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
45,11,1,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1611.0, 3086.0, 180)"
46,11,2,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1265.0, 3086.0, 180)"
47,11,3,XM4_x3_x1_x1,-2661.0,2661.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
48,12,0,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
49,12,1,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1511.0, 3086.0, 180)"
50,12,2,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1165.0, 3086.0, 180)"
51,12,3,XM3_x3_x1_x1,-2761.0,2761.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
52,13,0,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
53,13,1,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1561.0, 3086.0, 180)"
54,13,2,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
55,13,3,XM4_x3_x1_x1,-4045.0,4045.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
56,14,0,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1957.0, 3086.0, 180)"
57,14,1,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1611.0, 3086.0, 180)"
58,14,2,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
59,14,3,XM1_x3_x1_x1,-4345.0,4345.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
60,15,0,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
61,15,1,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1611.0, 3086.0, 180)"
62,15,2,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1265.0, 3086.0, 180)"
63,15,3,XM2_x3_x1_x1,-2661.0,2661.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
64,16,0,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
65,16,1,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1611.0, 3086.0, 180)"
66,16,2,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1265.0, 3086.0, 180)"
67,16,3,XM2_x3_x1_x1,-2661.0,2661.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
