,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
47,9,2,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
48,9,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
49,9,4,XM3_x3_x1,-5378.145930611724,5069.0,95571.20641378862,"(434, 269, 180)","(434.0, 269.0, 180)"
50,10,0,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, -289.0, 180)"
51,10,1,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, -10.0, 180)"
52,10,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
53,10,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(747.0, 269.0, 180)"
54,10,4,XDL_XM1_XM2_x3_x1,-5277.365909637485,4971.0,93860.07058800368,"(434, 269, 180)","(434.0, 269.0, 180)"
55,11,0,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
56,11,1,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
57,11,2,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
58,11,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
59,11,4,XM6_x3_x1,-6689.012581049695,6224.0,216236.70053449858,"(434, 269, 180)","(434.0, 269.0, 180)"
60,12,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
61,12,1,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
62,12,2,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
63,12,3,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
64,12,4,XM3_x3_x1,-5492.8994756073935,5173.0,102335.67449388531,"(434, 269, 180)","(434.0, 269.0, 180)"
65,13,0,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
66,13,1,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
67,13,2,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
68,13,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
69,13,4,XM6_x3_x1,-5814.418936901573,5452.0,131347.4858248667,"(434, 269, 180)","(434.0, 269.0, 180)"
70,14,0,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1143.0, 269.0, 180)"
71,14,1,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -289.0, 180)"
72,14,2,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -10.0, 180)"
73,14,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
74,14,4,XDL_XM1_XM2_x3_x1,-5848.834762505618,5489.0,129481.05630747443,"(434, 269, 180)","(434.0, 269.0, 180)"
75,15,0,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
76,15,1,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
77,15,2,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
78,15,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
79,15,4,XM3_x3_x1,-5378.145930611724,5069.0,95571.20641378862,"(434, 269, 180)","(434.0, 269.0, 180)"
80,16,0,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
81,16,1,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
82,16,2,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
83,16,3,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
84,16,4,XM6_x3_x1,-6325.851349054722,5900.0,181349.37149172637,"(434, 269, 180)","(434.0, 269.0, 180)"
85,17,0,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -289.0, 180)"
86,17,1,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -10.0, 180)"
87,17,2,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1143.0, 269.0, 180)"
88,17,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
89,17,4,XDL_XM1_XM2_x3_x1,-5848.834762505618,5489.0,129481.05630747443,"(434, 269, 180)","(434.0, 269.0, 180)"
90,18,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
91,18,1,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
92,18,2,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
93,18,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
94,18,4,XM6_x3_x1,-6173.321397057362,5776.0,157864.292559614,"(434, 269, 180)","(434.0, 269.0, 180)"
95,19,0,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
96,19,1,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
97,19,2,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
98,19,3,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
99,19,4,XM4_x3_x1,-6173.321397057362,5776.0,157864.292559614,"(434, 269, 180)","(434.0, 269.0, 180)"
100,20,0,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
101,20,1,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
102,20,2,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
103,20,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
104,20,4,XM6_x3_x1,-6689.012581049695,6224.0,216236.70053449858,"(434, 269, 180)","(434.0, 269.0, 180)"
105,21,0,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -289.0, 180)"
106,21,1,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -10.0, 180)"
107,21,2,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1143.0, 269.0, 180)"
108,21,3,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
109,21,4,XDL_XM1_XM2_x3_x1,-5493.009207054865,5165.0,107590.03991276152,"(434, 269, 180)","(434.0, 269.0, 180)"
110,22,0,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, -289.0, 180)"
111,22,1,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, -10.0, 180)"
112,22,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
113,22,3,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(747.0, 269.0, 180)"
114,22,4,XR6_x3_x1,-5890.955954610246,5523.0,135391.58453313747,"(434, 269, 180)","(434.0, 269.0, 180)"
115,23,0,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
116,23,1,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
117,23,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
118,23,3,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
119,23,4,XM4_x3_x1,-6133.3948328467195,5719.0,171723.077490061,"(434, 269, 180)","(434.0, 269.0, 180)"
120,24,0,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1143.0, 269.0, 180)"
121,24,1,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -289.0, 180)"
122,24,2,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -10.0, 180)"
123,24,3,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
124,24,4,XDL_XM1_XM2_x3_x1,-5176.086846074678,4886.0,84150.37826555397,"(434, 269, 180)","(434.0, 269.0, 180)"
125,25,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
126,25,1,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
127,25,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
128,25,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
129,25,4,XM4_x3_x1,-5618.933083668175,5271.0,121057.43071084484,"(434, 269, 180)","(434.0, 269.0, 180)"
130,26,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
131,26,1,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
132,26,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
133,26,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
134,26,4,XM6_x3_x1,-5814.418936901573,5452.0,131347.4858248667,"(434, 269, 180)","(434.0, 269.0, 180)"
135,27,0,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, -289.0, 180)"
136,27,1,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, -10.0, 180)"
137,27,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
138,27,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(747.0, 269.0, 180)"
139,27,4,XDL_XM1_XM2_x3_x1,-5393.507660977564,5075.0,101447.13010139928,"(434, 269, 180)","(434.0, 269.0, 180)"
140,28,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
141,28,1,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
142,28,2,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
143,28,3,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
144,28,4,XM3_x3_x1,-5492.8994756073935,5173.0,102335.67449388531,"(434, 269, 180)","(434.0, 269.0, 180)"
145,29,0,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -289.0, 180)"
146,29,1,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1143.0, 269.0, 180)"
147,29,2,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -10.0, 180)"
148,29,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
149,29,4,XDL_XM1_XM2_x3_x1,-5848.834762505618,5489.0,129481.05630747443,"(434, 269, 180)","(434.0, 269.0, 180)"
150,30,0,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -289.0, 180)"
151,30,1,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -10.0, 180)"
152,30,2,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1143.0, 269.0, 180)"
153,30,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
154,30,4,XDL_XM1_XM2_x3_x1,-5295.757971858939,4984.0,97193.03301759888,"(434, 269, 180)","(434.0, 269.0, 180)"
155,31,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
156,31,1,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
157,31,2,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
158,31,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
159,31,4,XM3_x3_x1,-5378.145930611724,5069.0,95571.20641378862,"(434, 269, 180)","(434.0, 269.0, 180)"
160,32,0,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
161,32,1,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
162,32,2,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
163,32,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
164,32,4,XM4_x3_x1,-6173.321397057362,5776.0,157864.292559614,"(434, 269, 180)","(434.0, 269.0, 180)"
165,33,0,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -289.0, 180)"
166,33,1,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -10.0, 180)"
167,33,2,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1143.0, 269.0, 180)"
168,33,3,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
169,33,4,XDL_XM1_XM2_x3_x1,-5059.945188150568,4782.0,77253.52761605495,"(434, 269, 180)","(434.0, 269.0, 180)"
170,34,0,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
171,34,1,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
172,34,2,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
173,34,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
174,34,4,XM3_x3_x1,-5492.8994756073935,5173.0,102335.67449388531,"(434, 269, 180)","(434.0, 269.0, 180)"
175,35,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
176,35,1,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
177,35,2,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
178,35,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
179,35,4,XM3_x3_x1,-5378.145930611724,5069.0,95571.20641378862,"(434, 269, 180)","(434.0, 269.0, 180)"
180,36,0,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
181,36,1,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
182,36,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
183,36,3,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
184,36,4,XM4_x3_x1,-6133.3948328467195,5719.0,171723.077490061,"(434, 269, 180)","(434.0, 269.0, 180)"
185,37,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
186,37,1,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
187,37,2,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
188,37,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
189,37,4,XM3_x3_x1,-5378.145930611724,5069.0,95571.20641378862,"(434, 269, 180)","(434.0, 269.0, 180)"
190,38,0,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
191,38,1,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
192,38,2,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
193,38,3,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
194,38,4,XM6_x3_x1,-6325.851349054722,5900.0,181349.37149172637,"(434, 269, 180)","(434.0, 269.0, 180)"
195,39,0,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, -289.0, 180)"
196,39,1,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, -10.0, 180)"
197,39,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
198,39,3,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(747.0, 269.0, 180)"
199,39,4,XR6_x3_x1,-5776.761066093991,5419.0,127992.98041270908,"(434, 269, 180)","(434.0, 269.0, 180)"
200,40,0,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1143.0, 269.0, 180)"
201,40,1,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -289.0, 180)"
