,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
1524,508,0,XM5,0.0,0.0,0.0,"(1167, 508, 90)","(1167.0, 508.0, 90)"
1525,508,1,XDP_XM1_XM2,0.0,0.0,0.0,"(451, 138, 180)","(451.0, 138.0, 180)"
1526,508,2,XDL_XM3_XM4,-3658.6146062149446,3515.0,20625.15511827363,"(212, 0, 180)","(90.5, 0.0, 180)"
1527,509,0,XDL_XM3_XM4,0.0,0.0,0.0,"(292, 437, 90)","(292.0, 437.0, 90)"
1528,509,1,XM5,0.0,0.0,0.0,"(1310, 1254, 90)","(1310.0, 1254.0, 90)"
1529,509,2,XDP_XM1_XM2,-4269.122628170673,4092.0,31372.425410086435,"(536, 790, 180)","(536.0, 790.0, 180)"
1530,510,0,XM5,0.0,0.0,0.0,"(1247, 262, 180)","(1247.0, 262.0, 180)"
1531,510,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1179, 1334, 270)","(1179.0, 1334.0, 270)"
1532,510,2,XDP_XM1_XM2,-4130.119824500804,3988.0,20198.044516139173,"(907, 607, 180)","(907.0, 607.0, 180)"
1533,511,0,XDP_XM1_XM2,0.0,0.0,0.0,"(235, 506, 90)","(235.0, 506.0, 90)"
1534,511,1,XDL_XM3_XM4,0.0,0.0,0.0,"(755, 1362, 90)","(755.0, 1362.0, 90)"
1535,511,2,XM5,-6936.384325314212,6593.0,117912.79487149672,"(1480, 587, 90)","(1480.0, 587.0, 90)"
1536,512,0,XM5,0.0,0.0,0.0,"(1031, 912, 90)","(1031.0, 912.0, 90)"
1537,512,1,XDP_XM1_XM2,0.0,0.0,0.0,"(208, 1162, 180)","(208.0, 1162.0, 180)"
1538,512,2,XDL_XM3_XM4,-5284.20593646406,4963.0,103173.25361975354,"(1138, 1023, 90)","(1138.0, 1258.0, 90)"
1539,513,0,XM5,0.0,0.0,0.0,"(26, 1158, 90)","(26.0, 1158.0, 90)"
1540,513,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1158, 778, 180)","(1158.0, 778.0, 180)"
1541,513,2,XDL_XM3_XM4,-6443.989089861546,6209.0,55219.8723539575,"(679, 81, 90)","(679.0, 81.0, 90)"
1542,514,0,XDP_XM1_XM2,0.0,0.0,0.0,"(883, 790, 90)","(883.0, 790.0, 90)"
1543,514,1,XM5,0.0,0.0,0.0,"(1401, 1030, 90)","(1581.5, 1030.0, 90)"
1544,514,2,XDL_XM3_XM4,-4269.573775877234,4002.0,71595.72553720002,"(1294, 960, 180)","(1294.0, 960.0, 180)"
1545,515,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1069, 115, 90)","(1069.0, 115.0, 90)"
1546,515,1,XM5,0.0,0.0,0.0,"(917, 1395, 180)","(917.0, 1395.0, 180)"
1547,515,2,XDL_XM3_XM4,-4656.574288769382,4512.0,20901.72497317273,"(919, 561, 270)","(919.0, 561.0, 270)"
1548,516,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1055, 260, 180)","(1055.0, 260.0, 180)"
1549,516,1,XDL_XM3_XM4,0.0,0.0,0.0,"(871, 943, 180)","(871.0, 943.0, 180)"
1550,516,2,XM5,-5364.537106185919,5054.0,96433.29431832467,"(529, 1051, 180)","(525.0, 1051.0, 180)"
1551,517,0,XM5,0.0,0.0,0.0,"(583, 395, 180)","(583.0, 395.0, 180)"
1552,517,1,XDL_XM3_XM4,0.0,0.0,0.0,"(345, 606, 180)","(237.0, 606.0, 180)"
1553,517,2,XDP_XM1_XM2,-3971.325550497876,3740.0,53511.5103131453,"(770, 341, 0)","(993.5, 341.0, 0)"
1554,518,0,XM5,0.0,0.0,0.0,"(251, 841, 270)","(251.0, 841.0, 270)"
1555,518,1,XDP_XM1_XM2,0.0,0.0,0.0,"(127, 307, 0)","(127.0, 307.0, 0)"
1556,518,2,XDL_XM3_XM4,-4856.759438823229,4588.0,72231.63595657705,"(691, 847, 0)","(691.0, 847.0, 0)"
1557,519,0,XM5,0.0,0.0,0.0,"(1323, 946, 180)","(1323.0, 946.0, 180)"
1558,519,1,XDL_XM3_XM4,0.0,0.0,0.0,"(409, 1217, 180)","(159.5, 1217.0, 180)"
1559,519,2,XDP_XM1_XM2,-4266.904692180438,4089.0,31650.079499816547,"(520, 1343, 180)","(520.0, 1343.0, 180)"
1560,520,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1292, 1056, 90)","(1292.0, 1056.0, 90)"
1561,520,1,XDL_XM3_XM4,0.0,0.0,0.0,"(296, 758, 90)","(296.0, 758.0, 90)"
1562,520,2,XM5,-6988.753949573152,6586.0,162210.7438967728,"(265, 624, 0)","(265.0, 470.5, 0)"
1563,521,0,XDL_XM3_XM4,0.0,0.0,0.0,"(173, 1305, 90)","(173.0, 1305.0, 90)"
1564,521,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1193, 1401, 180)","(1193.0, 1401.0, 180)"
1565,521,2,XM5,-3775.4984464673303,3611.0,27059.738890165117,"(1310, 1357, 90)","(1545.0, 1357.0, 90)"
