,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
46,9,1,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 915.5, 180)"
47,9,2,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1429.5, 180)"
48,9,3,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1943.5, 180)"
49,9,4,x2_x1_x1,-18096.177517497938,17511.5,341847.79946755234,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
50,10,0,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 106.0, 180)"
51,10,1,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 915.5, 180)"
52,10,2,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1429.5, 180)"
53,10,3,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1943.5, 180)"
54,10,4,x3_x1_x1,-21238.72108611202,20388.0,723726.3663556107,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
55,11,0,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, -43.5, 180)"
56,11,1,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 766.0, 180)"
57,11,2,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1326.0, 180)"
58,11,3,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1840.0, 180)"
59,11,4,x3_x1_x1,-21620.857688064032,20794.5,682867.0286225305,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
60,12,0,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 1679.0, 180)"
61,12,1,x3_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 221.0, 180)"
62,12,2,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1429.5, 180)"
63,12,3,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 2239.0, 180)"
64,12,4,x1_x1_x1,-20693.530683943576,19880.5,661018.8930337611,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
65,13,0,x3_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 221.0, 180)"
66,13,1,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 1679.0, 180)"
67,13,2,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1429.5, 180)"
68,13,3,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 2239.0, 180)"
69,13,4,x1_x1_x1,-20549.829262413845,19716.0,695271.238857618,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
70,14,0,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2312.0, 1679.0, 180)"
71,14,1,x3_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 735.0, 180)"
72,14,2,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 2193.0, 180)"
73,14,3,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1943.5, 180)"
74,14,4,XC1_x1_x1,-19540.305037458576,18759.5,609656.5065206866,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
75,15,0,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, -43.5, 180)"
76,15,1,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 766.0, 180)"
77,15,2,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1326.0, 180)"
78,15,3,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1840.0, 180)"
79,15,4,x3_x1_x1,-21620.857688064032,20794.5,682867.0286225305,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
80,16,0,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 735.0, 180)"
81,16,1,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2312.0, 1679.0, 180)"
82,16,2,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 2193.0, 180)"
83,16,3,x3_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1943.5, 180)"
84,16,4,XC2_x1_x1,-19646.437333886788,18867.0,607522.5574565437,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
85,17,0,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 766.0, 180)"
86,17,1,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 1326.0, 180)"
87,17,2,x3_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 956.5, 180)"
