,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
48,16,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1698.0, 270)"
49,16,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -47.0, 270)"
50,16,2,x3_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
51,17,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 3194.0, 270)"
52,17,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 2945.0, 270)"
53,17,2,x1_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
54,18,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
55,18,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
56,18,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
57,19,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
58,19,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
59,19,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
60,20,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
61,20,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1449.0, 270)"
62,20,2,x3_x1,-27231.80902593269,26206.5,1051258.5986590413,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
63,21,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
64,21,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1449.0, 270)"
65,21,2,x3_x1,-27231.80902593269,26206.5,1051258.5986590413,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
66,22,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 2945.0, 270)"
67,22,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 3194.0, 270)"
68,22,2,x1_x1,-26194.722514156263,25300.5,799633.9048239467,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
69,23,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1698.0, 270)"
70,23,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -47.0, 270)"
71,23,2,x3_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
72,24,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 2945.0, 270)"
73,24,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 3194.0, 270)"
74,24,2,x1_x1,-26194.722514156263,25300.5,799633.9048239467,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
75,25,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
76,25,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
77,25,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
78,26,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 3194.0, 270)"
79,26,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 2945.0, 270)"
80,26,2,x1_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
81,27,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 3194.0, 270)"
82,27,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 2945.0, 270)"
83,27,2,x1_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
84,28,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 2945.0, 270)"
85,28,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 3194.0, 270)"
86,28,2,x1_x1,-26194.722514156263,25300.5,799633.9048239467,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
87,29,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1698.0, 270)"
88,29,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -47.0, 270)"
89,29,2,x3_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
90,30,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1698.0, 270)"
91,30,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -47.0, 270)"
92,30,2,x3_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
93,31,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
94,31,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
95,31,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
96,32,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 2945.0, 270)"
97,32,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 3194.0, 270)"
98,32,2,x1_x1,-26194.722514156263,25300.5,799633.9048239467,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
99,33,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
100,33,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
101,33,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
102,34,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 3194.0, 270)"
103,34,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 2945.0, 270)"
104,34,2,x1_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
105,35,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
106,35,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
107,35,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
108,36,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
109,36,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
110,36,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
111,37,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
112,37,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1449.0, 270)"
113,37,2,x3_x1,-27231.80902593269,26206.5,1051258.5986590413,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
114,38,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 2945.0, 270)"
115,38,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 3194.0, 270)"
116,38,2,x1_x1,-26194.722514156263,25300.5,799633.9048239467,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
117,39,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
118,39,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
119,39,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
120,40,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
121,40,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1449.0, 270)"
122,40,2,x3_x1,-27231.80902593269,26206.5,1051258.5986590413,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
123,41,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
124,41,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
125,41,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
126,42,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
127,42,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1449.0, 270)"
128,42,2,x3_x1,-27231.80902593269,26206.5,1051258.5986590413,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
129,43,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
130,43,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
131,43,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
132,44,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
133,44,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
134,44,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
135,45,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
136,45,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1449.0, 270)"
137,45,2,x3_x1,-27231.80902593269,26206.5,1051258.5986590413,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
138,46,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 2945.0, 270)"
139,46,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 3194.0, 270)"
140,46,2,x1_x1,-26194.722514156263,25300.5,799633.9048239467,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
141,47,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
142,47,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
143,47,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
144,48,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 3194.0, 270)"
145,48,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 2945.0, 270)"
146,48,2,x1_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
147,49,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 3194.0, 270)"
148,49,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 2945.0, 270)"
149,49,2,x1_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
150,50,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
151,50,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1449.0, 270)"
152,50,2,x3_x1,-27231.80902593269,26206.5,1051258.5986590413,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
153,51,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1698.0, 270)"
154,51,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -47.0, 270)"
155,51,2,x3_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
156,52,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 3194.0, 270)"
157,52,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 2945.0, 270)"
158,52,2,x1_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
159,53,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
160,53,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
161,53,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
162,54,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 3194.0, 270)"
163,54,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 2945.0, 270)"
164,54,2,x1_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
165,55,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 3194.0, 270)"
166,55,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 2945.0, 270)"
167,55,2,x1_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
168,56,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
169,56,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
170,56,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
171,57,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 2945.0, 270)"
172,57,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 3194.0, 270)"
173,57,2,x1_x1,-26194.722514156263,25300.5,799633.9048239467,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
174,58,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
175,58,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1449.0, 270)"
176,58,2,x3_x1,-27231.80902593269,26206.5,1051258.5986590413,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
177,59,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 3194.0, 270)"
178,59,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 2945.0, 270)"
179,59,2,x1_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
