,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
861,287,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1483, 356, 180)","(1483.0, 356.0, 180)"
862,287,1,XDP_XM1_XM2,0.0,0.0,0.0,"(217, 630, 0)","(217.0, 630.0, 0)"
863,287,2,XM5,-5687.020208021061,5422.0,70235.71065952668,"(435, 92, 180)","(435.0, 92.0, 180)"
864,288,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1469, 1045, 0)","(1469.0, 1045.0, 0)"
865,288,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1466, 1240, 180)","(1466.0, 1553.0, 180)"
866,288,2,XM5,-7536.45289074742,7181.0,126346.75754069675,"(149, 412, 180)","(149.0, 412.0, 180)"
867,289,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1148, 1001, 0)","(1148.0, 1001.0, 0)"
868,289,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1538, 1026, 180)","(1538.0, 1026.0, 180)"
869,289,2,XM5,-3858.9614428812174,3679.0,32386.120923889597,"(1485, 507, 0)","(1485.0, 493.0, 0)"
870,290,0,XM5,0.0,0.0,0.0,"(132, 753, 180)","(132.0, 753.0, 180)"
871,290,1,XDL_XM3_XM4,0.0,0.0,0.0,"(629, 1073, 270)","(629.0, 1073.0, 270)"
872,290,2,XDP_XM1_XM2,-5861.488154493403,5473.0,150923.04618169047,"(1226, 1331, 0)","(1226.0, 1331.0, 0)"
873,291,0,XM5,0.0,0.0,0.0,"(1176, 1508, 90)","(1176.0, 1508.0, 90)"
874,291,1,XDP_XM1_XM2,0.0,0.0,0.0,"(590, 226, 180)","(590.0, 226.0, 180)"
875,291,2,XDL_XM3_XM4,-5492.3504305143815,5277.0,46375.80792272941,"(274, 127, 90)","(274.0, -61.5, 90)"
876,292,0,XDL_XM3_XM4,0.0,0.0,0.0,"(509, 976, 0)","(509.0, 976.0, 0)"
877,292,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1122, 553, 180)","(1122.0, 553.0, 180)"
878,292,2,XM5,-6616.451406834674,6216.0,160361.32923587025,"(440, 1308, 180)","(440.0, 1484.0, 180)"
879,293,0,XDL_XM3_XM4,0.0,0.0,0.0,"(899, 342, 90)","(899.0, 342.0, 90)"
880,293,1,XM5,0.0,0.0,0.0,"(957, 985, 180)","(957.0, 985.0, 180)"
881,293,2,XDP_XM1_XM2,-4551.071988828594,4331.0,48431.68026697258,"(1195, 1142, 180)","(1195.0, 1264.0, 180)"
882,294,0,XDP_XM1_XM2,0.0,0.0,0.0,"(534, 865, 0)","(534.0, 865.0, 0)"
883,294,1,XDL_XM3_XM4,0.0,0.0,0.0,"(706, 1252, 270)","(706.0, 1252.0, 270)"
884,294,2,XM5,-4058.737023750928,3864.0,37922.508419369464,"(312, 1552, 270)","(312.0, 1598.0, 270)"
885,295,0,XM5,0.0,0.0,0.0,"(479, 53, 0)","(649.5, 53.0, 0)"
886,295,1,XDP_XM1_XM2,0.0,0.0,0.0,"(312, 83, 90)","(312.0, 83.0, 90)"
887,295,2,XDL_XM3_XM4,-4516.472932635228,4347.0,28721.074895984435,"(94, 1169, 270)","(94.0, 1169.0, 270)"
888,296,0,XDP_XM1_XM2,0.0,0.0,0.0,"(376, 353, 0)","(376.0, 353.0, 0)"
889,296,1,XM5,0.0,0.0,0.0,"(1310, 848, 270)","(1310.0, 848.0, 270)"
890,296,2,XDL_XM3_XM4,-6210.894507109474,5832.0,143561.04751773126,"(763, 791, 90)","(763.0, 791.0, 90)"
891,297,0,XM5,0.0,0.0,0.0,"(1181, 184, 180)","(1181.0, 184.0, 180)"
892,297,1,XDL_XM3_XM4,0.0,0.0,0.0,"(119, 415, 0)","(119.0, 415.0, 0)"
893,297,2,XDP_XM1_XM2,-4564.672235496209,4339.0,50927.95787385639,"(1015, 594, 180)","(1015.0, 594.0, 180)"
894,298,0,XDL_XM3_XM4,0.0,0.0,0.0,"(3, 1508, 180)","(-80.0, 1508.0, 180)"
895,298,1,XM5,0.0,0.0,0.0,"(266, 1509, 180)","(266.0, 1509.0, 180)"
896,298,2,XDP_XM1_XM2,-6815.04487618183,6493.0,103712.90227497015,"(166, 353, 0)","(166.0, 353.0, 0)"
897,299,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1342, 1108, 270)","(1342.0, 1108.0, 270)"
898,299,1,XDL_XM3_XM4,0.0,0.0,0.0,"(373, 767, 270)","(373.0, 767.0, 270)"
899,299,2,XM5,-6662.304736696226,6329.0,111092.0475041408,"(163, 1218, 270)","(163.0, 1218.0, 270)"
900,300,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1436, 11, 90)","(1436.0, 11.0, 90)"
901,300,1,XM5,0.0,0.0,0.0,"(841, 1541, 180)","(841.0, 1541.0, 180)"
902,300,2,XDP_XM1_XM2,-5449.3500881470345,5254.0,38161.65693905406,"(1239, 1291, 270)","(1239.0, 1291.0, 270)"
903,301,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1457, 378, 90)","(1457.0, 378.0, 90)"
904,301,1,XM5,0.0,0.0,0.0,"(1330, 822, 180)","(1330.0, 822.0, 180)"
905,301,2,XDL_XM3_XM4,-4733.204027386855,4506.0,51621.67006080667,"(463, 707, 0)","(463.0, 707.0, 0)"
906,302,0,XM5,0.0,0.0,0.0,"(470, 936, 90)","(470.0, 936.0, 90)"
907,302,1,XDL_XM3_XM4,0.0,0.0,0.0,"(521, 633, 180)","(757.5, 633.0, 180)"
908,302,2,XDP_XM1_XM2,-6837.821572221107,6453.0,148087.6424467245,"(1412, 1509, 0)","(1412.0, 1509.0, 0)"
909,303,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1407, 842, 0)","(1407.0, 842.0, 0)"
910,303,1,XDP_XM1_XM2,0.0,0.0,0.0,"(737, 686, 180)","(737.0, 686.0, 180)"
911,303,2,XM5,-4900.480131202196,4708.0,37048.600907614695,"(17, 1147, 180)","(17.0, 1147.0, 180)"
912,304,0,XDL_XM3_XM4,0.0,0.0,0.0,"(271, 600, 90)","(271.0, 600.0, 90)"
913,304,1,XM5,0.0,0.0,0.0,"(848, 1044, 0)","(848.0, 1044.0, 0)"
914,304,2,XDP_XM1_XM2,-7538.896016372695,7129.0,168014.744238205,"(1343, 1526, 180)","(1343.0, 1526.0, 180)"
915,305,0,XDP_XM1_XM2,0.0,0.0,0.0,"(838, 249, 180)","(838.0, 249.0, 180)"
916,305,1,XM5,0.0,0.0,0.0,"(20, 1386, 180)","(20.0, 1395.5, 180)"
917,305,2,XDL_XM3_XM4,-7845.016193559034,7393.0,204318.63923959807,"(294, 1108, 270)","(294.0, 1108.0, 270)"
918,306,0,XDP_XM1_XM2,0.0,0.0,0.0,"(981, 1447, 270)","(981.0, 1447.0, 270)"
919,306,1,XDL_XM3_XM4,0.0,0.0,0.0,"(575, 1032, 180)","(575.0, 1032.0, 180)"
920,306,2,XM5,-5285.230292785149,5080.0,42119.473076678056,"(1325, 239, 180)","(1325.0, 239.0, 180)"
921,307,0,XDP_XM1_XM2,0.0,0.0,0.0,"(339, 402, 0)","(339.0, 402.0, 0)"
922,307,1,XM5,0.0,0.0,0.0,"(720, 353, 0)","(749.5, 353.0, 0)"
923,307,2,XDL_XM3_XM4,-2745.0780167438606,2650.0,9039.829267945852,"(154, 277, 180)","(-21.5, 277.0, 180)"
924,308,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1445, 1480, 90)","(1445.0, 1480.0, 90)"
925,308,1,XM5,0.0,0.0,0.0,"(548, 39, 180)","(548.0, 39.0, 180)"
926,308,2,XDP_XM1_XM2,-7308.877917444425,6992.0,100411.61456391592,"(522, 19, 180)","(522.0, -240.0, 180)"
927,309,0,XM5,0.0,0.0,0.0,"(706, 878, 180)","(706.0, 878.0, 180)"
928,309,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1212, 122, 90)","(1212.0, 122.0, 90)"
929,309,2,XDL_XM3_XM4,-6458.1461287062,6190.0,71902.34634012224,"(1339, 1487, 180)","(1339.0, 1487.0, 180)"
930,310,0,XDL_XM3_XM4,0.0,0.0,0.0,"(700, 1512, 0)","(700.0, 1512.0, 0)"
931,310,1,XM5,0.0,0.0,0.0,"(404, 803, 180)","(404.0, 803.0, 180)"
932,310,2,XDP_XM1_XM2,-6308.0038196919495,5982.0,106278.49045374128,"(627, 68, 270)","(627.0, 68.0, 270)"
933,311,0,XDP_XM1_XM2,0.0,0.0,0.0,"(94, 9, 90)","(53.5, 9.0, 90)"
934,311,1,XDL_XM3_XM4,0.0,0.0,0.0,"(341, 62, 180)","(341.0, 62.0, 180)"
935,311,2,XM5,-3325.297155394657,3214.0,12387.05679894238,"(641, 16, 180)","(687.0, 16.0, 180)"
936,312,0,XDL_XM3_XM4,0.0,0.0,0.0,"(722, 167, 90)","(722.0, 167.0, 90)"
937,312,1,XM5,0.0,0.0,0.0,"(830, 888, 0)","(830.0, 915.0, 0)"
938,312,2,XDP_XM1_XM2,-3139.5883952046543,3017.0,15027.914638852471,"(967, 636, 0)","(967.0, 636.0, 0)"
939,313,0,XDL_XM3_XM4,0.0,0.0,0.0,"(570, 1184, 180)","(649.0, 1184.0, 180)"
940,313,1,XM5,0.0,0.0,0.0,"(303, 1056, 0)","(303.0, 1056.0, 0)"
941,313,2,XDP_XM1_XM2,-4289.318564557035,4027.0,68811.02931126299,"(11, 683, 180)","(11.0, 683.0, 180)"
942,314,0,XDL_XM3_XM4,0.0,0.0,0.0,"(85, 1419, 0)","(85.0, 1419.0, 0)"
943,314,1,XM5,0.0,0.0,0.0,"(953, 612, 0)","(953.0, 612.0, 0)"
944,314,2,XDP_XM1_XM2,-8549.844565400474,8150.0,159875.67648029377,"(1463, 231, 270)","(1463.0, 231.0, 270)"
945,315,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1315, 1529, 270)","(1315.0, 1529.0, 270)"
946,315,1,XM5,0.0,0.0,0.0,"(1126, 136, 180)","(1126.0, 136.0, 180)"
947,315,2,XDP_XM1_XM2,-6145.477222214265,5894.0,63240.793292602626,"(512, 739, 270)","(512.0, 739.0, 270)"
948,316,0,XDL_XM3_XM4,0.0,0.0,0.0,"(923, 1427, 270)","(923.0, 1427.0, 270)"
949,316,1,XM5,0.0,0.0,0.0,"(833, 513, 180)","(833.0, 513.0, 180)"
950,316,2,XDP_XM1_XM2,-5184.093811247984,4943.0,58126.22582207862,"(1335, 1402, 270)","(1431.0, 1402.0, 270)"
951,317,0,XDP_XM1_XM2,0.0,0.0,0.0,"(337, 443, 90)","(337.0, 443.0, 90)"
952,317,1,XM5,0.0,0.0,0.0,"(1384, 1287, 0)","(1384.0, 1287.0, 0)"
953,317,2,XDL_XM3_XM4,-6708.20321990555,6337.0,137791.83046824852,"(539, 1236, 0)","(539.0, 1236.0, 0)"
954,318,0,XM5,0.0,0.0,0.0,"(107, 1130, 0)","(107.0, 1130.0, 0)"
955,318,1,XDL_XM3_XM4,0.0,0.0,0.0,"(182, 125, 0)","(182.0, 125.0, 0)"
956,318,2,XDP_XM1_XM2,-5251.207798103013,4988.0,69278.3449822367,"(186, 1529, 90)","(186.0, 1529.0, 90)"
957,319,0,XDP_XM1_XM2,0.0,0.0,0.0,"(6, 24, 0)","(6.0, 24.0, 0)"
958,319,1,XDL_XM3_XM4,0.0,0.0,0.0,"(465, 884, 270)","(465.0, 884.0, 270)"
